c FILE			: graph.txt
a 1094 3282 14
a 1094 1641 63
a 1094 3960 0
a 1095 886 27
a 1095 3285 10
a 1095 1008 5
a 1095 3464 69
a 1095 4698 86
a 1095 666 62
a 1095 801 50
a 1095 3677 72
a 1095 3672 78
a 1095 1126 54
a 1095 940 24
a 1095 3464 48
a 1095 314 99
a 1095 2952 59
a 1095 3451 70
a 1095 118 51
a 1095 655 9
a 1095 1763 82
a 1095 2372 41
a 1095 4544 82
a 1095 1183 93
a 1095 511 26
a 1095 633 1
a 1095 3185 71
a 1095 110 15
a 1095 3626 44
a 1095 1724 10
a 1095 783 10
a 1096 4288 56
a 1096 199 23
a 1096 3285 43
a 1096 667 78
a 1096 81 35
a 1096 626 94
a 1096 940 66
a 1096 3301 95
a 1096 1181 11
a 1096 4 45
a 1096 1172 15
a 1096 217 60
a 1096 1097 36
a 1096 4 51
a 1096 393 75
a 1096 1714 97
a 1096 2979 26
a 1096 2483 67
a 1096 1193 45
a 1096 471 45
a 1096 2980 44
a 1096 3287 69
a 1096 1721 96
a 1096 4141 54
a 1096 2394 94
a 1096 978 54
a 1096 226 86
a 1096 1108 6
a 1096 717 94
a 1096 3049 96
a 1096 1200 28
a 1096 938 59
a 1097 1608 25
a 1097 3648 24
a 1097 520 47
a 1097 1018 25
a 1097 1175 67
a 1097 398 98
a 1097 3610 19
a 1097 47 59
a 1097 490 42
a 1097 11 27
a 1097 318 42
a 1097 1807 98
a 1097 1918 21
a 1098 313 73
a 1098 1137 38
a 1098 1118 48
a 1098 434 42
a 1098 3760 4
a 1098 2033 29
a 1098 1176 4
a 1098 2978 15
a 1098 2493 63
a 1098 2973 54
a 1098 3511 87
a 1098 3598 55
a 1098 2541 86
a 1098 1808 58
a 1098 1309 15
a 1098 2671 61
a 1098 4150 15
a 1098 1138 64
a 1098 2370 88
a 1098 1721 9
a 1098 1100 70
a 1098 3365 27
a 1098 883 22
a 1098 336 7
a 1098 4888 44
a 1098 224 48
a 1098 1781 36
a 1099 2267 57
a 1099 1098 92
a 1099 1173 29
a 1099 606 16
a 1099 958 35
a 1099 958 91
a 1099 3286 85
a 1099 14 79
a 1099 1720 79
a 1099 3298 49
a 1099 44 91
a 1099 2446 88
a 1099 1722 45
a 1099 202 87
a 1099 3598 57
a 1100 3656 21
a 1100 4849 13
a 1100 524 33
a 1100 2399 10
a 1100 1413 74
a 1100 2173 67
a 1100 510 78
a 1100 159 45
a 1100 748 59
a 1100 4859 65
a 1100 1029 61
a 1100 821 29
a 1100 74 62
a 1100 2438 92
a 1100 1236 97
a 1100 172 74
a 1100 803 31
a 1101 1098 65
a 1101 528 53
a 1101 1139 1
a 1101 4174 48
a 1101 794 54
a 1103 207 82
a 1103 4957 29
a 1103 3598 68
a 1103 471 2
a 1103 2065 46
a 1103 1094 58
a 1103 3447 35
a 1103 1185 51
a 1103 2839 58
a 1103 1877 76
a 1103 791 99
a 1103 3390 10
a 1103 400 98
a 1103 1876 25
a 1103 489 45
a 1103 1098 66
a 1103 2346 82
a 1103 4856 18
a 1103 801 9
a 1103 948 43
a 1103 3009 11
a 1103 2396 97
a 1103 719 34
a 1103 1760 33
a 1103 4380 9
a 1103 2032 69
a 1103 1099 35
a 1103 434 67
a 1103 498 41
a 1103 478 30
a 1104 236 29
a 1104 3331 73
a 1104 783 56
a 1104 1025 20
a 1104 718 37
a 1104 1162 98
a 1104 530 86
a 1104 40 95
a 1104 2379 41
a 1104 1609 34
a 1105 657 19
a 1105 832 46
a 1105 3645 67
a 1105 3604 1
a 1105 2433 38
a 1105 1123 64
a 1105 517 24
a 1105 4468 95
a 1105 1025 58
a 1105 2355 0
a 1105 3595 19
a 1105 1808 18
a 1106 582 88
a 1106 1143 23
a 1106 3589 78
a 1106 474 94
a 1106 2141 72
a 1106 17 72
a 1106 2868 55
a 1106 3089 80
a 1106 2218 14
a 1106 1144 69
a 1106 1183 15
a 1107 395 28
a 1107 758 56
a 1107 2745 98
a 1107 4629 7
a 1107 3447 31
a 1107 1039 85
a 1107 3002 12
a 1107 801 71
a 1107 640 69
a 1107 1142 27
a 1107 79 84
a 1107 1253 29
a 1107 4791 41
a 1107 1645 9
a 1108 3920 38
a 1108 3525 29
a 1108 236 47
a 1108 1119 75
a 1108 1104 31
a 1108 342 93
a 1108 1595 63
a 1109 3479 9
a 1109 1184 74
a 1109 1765 1
a 1109 973 1
a 1109 4703 15
a 1109 1184 64
a 1109 251 90
a 1110 1066 74
a 1113 821 54
a 1113 2013 14
a 1113 882 4
a 1113 354 47
a 1113 3077 12
a 1113 844 46
a 1113 688 8
a 1113 316 34
a 1113 1279 58
a 1113 494 47
a 1113 1122 69
a 1113 1475 72
a 1113 4282 77
a 1113 968 6
a 1113 1076 7
a 1113 1660 29
a 1113 2211 9
a 1113 1 0
a 1113 1838 9
a 1113 977 75
a 1113 943 92
a 1113 3391 56
a 1113 3505 80
a 1113 3596 12
a 1113 958 78
a 1113 4953 55
a 1114 3098 77
a 1114 1017 88
a 1114 791 56
a 1114 4723 21
a 1114 1213 5
a 1114 181 50
a 1114 566 60
a 1114 678 25
a 1114 1036 19
a 1114 563 32
a 1114 385 96
a 1114 1200 56
a 1114 254 54
a 1114 178 29
a 1114 548 60
a 1115 1432 41
a 1115 940 75
a 1115 1867 78
a 1115 3402 61
a 1115 3596 42
a 1115 774 8
a 1115 2287 58
a 1115 1174 98
a 1116 498 28
a 1116 3311 71
a 1116 972 21
a 1116 1114 26
a 1116 959 94
a 1117 83 52
a 1117 3314 83
a 1117 3994 95
a 1117 3307 93
a 1117 267 36
a 1117 2671 66
a 1117 3458 96
a 1117 938 68
a 1117 1165 8
a 1117 671 96
a 1117 807 34
a 1117 3286 48
a 1118 3620 90
a 1118 2345 95
a 1118 1804 54
a 1118 939 49
a 1118 883 70
a 1118 1116 33
a 1118 3031 34
a 1118 561 7
a 1118 2485 85
a 1118 2136 64
a 1119 2422 62
a 1119 3617 47
a 1119 1117 64
a 1119 3619 15
a 1119 2408 14
a 1119 807 5
a 1119 3021 22
a 1119 2546 81
a 1119 1197 22
a 1119 817 73
a 1119 183 69
a 1119 4368 75
a 1119 1039 4
a 1119 1128 85
a 1119 143 4
a 1119 3636 76
a 1119 1185 45
a 1120 4714 49
a 1120 120 86
a 1120 372 39
a 1120 825 59
a 1120 1040 5
a 1120 2234 12
a 1122 498 10
a 1122 2363 73
a 1122 3468 99
a 1122 1174 52
a 1122 4854 50
a 1122 888 44
a 1122 3635 42
a 1122 1094 76
a 1122 185 41
a 1122 1153 97
a 1122 3622 73
a 1122 4447 8
a 1122 1173 81
a 1122 3633 13
a 1122 654 15
a 1122 332 21
a 1122 4873 66
a 1122 344 8
a 1123 893 12
a 1123 3443 60
a 1123 1162 10
a 1123 2093 37
a 1123 1120 27
a 1123 479 60
a 1124 315 21
a 1124 2397 17
a 1124 491 87
a 1124 206 60
a 1124 503 5
a 1124 1832 13
a 1124 2997 38
a 1124 519 55
a 1124 3637 4
a 1124 323 38
a 1124 421 48
a 1124 4534 35
a 1125 1124 36
a 1125 3512 79
a 1125 55 94
a 1125 472 79
a 1125 1016 47
a 1125 2903 32
a 1125 353 41
a 1125 978 80
a 1125 1418 66
a 1126 3923 52
a 1126 3743 40
a 1126 880 77
a 1126 2357 92
a 1126 1098 79
a 1126 1909 78
a 1126 2353 95
a 1126 3531 46
a 1126 3028 70
a 1127 36 33
a 1127 639 94
a 1127 2042 78
a 1127 4165 17
a 1127 3188 41
a 1127 826 49
a 1127 2657 77
a 1128 168 94
a 1128 1116 55
a 1129 2220 75
a 1129 2338 68
a 1129 1267 1
a 1129 1125 87
a 1133 849 46
a 1133 3027 84
a 1133 1332 6
a 1133 964 78
a 1133 996 89
a 1133 1462 44
a 1133 3676 61
a 1133 827 66
a 1133 3634 52
a 1133 512 79
a 1133 313 34
a 1133 991 69
a 1133 196 49
a 1133 920 18
a 1133 745 40
a 1133 1152 25
a 1133 2425 48
a 1133 4 49
a 1133 2085 83
a 1133 2209 46
a 1133 2999 84
a 1133 786 97
a 1133 1499 82
a 1133 1533 29
a 1133 534 12
a 1134 2387 63
a 1134 3017 90
a 1134 119 37
a 1134 206 73
a 1134 3636 25
a 1134 1113 21
a 1134 636 88
a 1134 1148 30
a 1134 1566 20
a 1134 670 17
a 1134 1099 17
a 1134 2483 79
a 1134 1770 86
a 1134 1074 73
a 1135 2394 33
a 1135 1510 80
a 1135 3613 52
a 1135 3693 30
a 1135 2815 41
a 1135 3245 29
a 1135 2194 19
a 1135 826 77
a 1135 1094 95
a 1135 3713 98
a 1135 843 31
a 1135 793 99
a 1135 2861 96
a 1135 1432 35
a 1135 3796 29
a 1135 1149 46
a 1136 1194 21
a 1136 823 5
a 1136 3401 68
a 1136 2171 28
a 1136 1338 98
a 1136 3580 14
a 1136 609 82
a 1136 4679 42
a 1136 997 72
a 1137 203 34
a 1137 531 33
a 1137 1781 41
a 1137 864 51
a 1137 1117 53
a 1137 509 31
a 1137 2510 11
a 1137 4672 67
a 1137 1803 43
a 1137 938 99
a 1137 317 75
a 1137 630 86
a 1137 4720 26
a 1137 177 60
a 1137 161 47
a 1138 1934 70
a 1138 2740 65
a 1138 396 57
a 1138 1058 98
a 1138 3600 78
a 1138 4141 83
a 1139 3409 71
a 1139 983 37
a 1139 1537 5
a 1139 1769 70
a 1139 3566 36
a 1139 2387 40
a 1140 899 33
a 1140 1511 63
a 1140 3684 80
a 1140 1409 65
a 1140 556 95
a 1140 987 24
a 1140 304 0
a 1140 910 52
a 1142 519 93
a 1142 205 23
a 1142 278 0
a 1142 1146 87
a 1142 1421 57
a 1142 3331 87
a 1142 2043 40
a 1142 733 54
a 1142 2360 54
a 1142 170 57
a 1142 2857 31
a 1142 1769 44
a 1142 743 33
a 1142 921 38
a 1142 1919 68
a 1142 1220 77
a 1142 3685 37
a 1142 3743 7
a 1142 600 81
a 1142 977 3
a 1143 824 34
a 1143 303 38
a 1143 1416 29
a 1143 1116 98
a 1143 1145 50
a 1143 1768 25
a 1143 708 4
a 1144 2981 86
a 1144 2102 95
a 1144 2473 56
a 1144 1143 78
a 1144 3014 40
a 1144 3656 15
a 1144 2100 58
a 1144 3596 81
a 1144 2287 41
a 1145 500 63
a 1145 3024 71
a 1145 2347 94
a 1145 502 31
a 1146 324 88
a 1146 822 81
a 1146 3613 81
a 1146 1220 96
a 1146 523 44
a 1146 2607 36
a 1146 2692 7
a 1146 519 97
a 1146 4638 53
a 1147 3267 39
a 1147 1221 89
a 1147 205 32
a 1147 952 52
a 1148 529 85
a 1148 797 24
a 1148 320 25
a 1148 836 96
a 1148 953 50
a 1149 169 56
a 1149 3597 78
a 1149 1848 7
a 1149 1012 75
a 1152 3418 99
a 1152 3178 5
a 1152 1126 76
a 1152 3600 94
a 1152 1113 96
a 1152 2229 75
a 1152 4683 68
a 1152 1200 37
a 1152 215 23
a 1152 1782 29
a 1152 1166 40
a 1152 3633 58
a 1153 2324 70
a 1153 903 35
a 1153 2461 3
a 1153 1108 79
a 1153 480 19
a 1153 1159 84
a 1153 1479 51
a 1153 335 63
a 1153 3353 34
a 1153 2432 56
a 1153 2042 36
a 1153 3620 38
a 1153 977 71
a 1153 221 75
a 1154 485 70
a 1154 196 97
a 1154 4436 24
a 1154 849 65
a 1154 1213 26
a 1154 1142 32
a 1154 1211 9
a 1154 3605 69
a 1154 979 47
a 1154 2246 46
a 1154 1213 43
a 1155 1106 65
a 1155 2981 29
a 1155 841 31
a 1155 2335 36
a 1155 1154 84
a 1155 2464 43
a 1155 588 59
a 1155 568 72
a 1155 1001 25
a 1155 3008 54
a 1156 3199 97
a 1156 3193 15
a 1156 3247 69
a 1156 609 56
a 1156 1010 32
a 1156 1016 6
a 1156 1139 41
a 1156 947 43
a 1156 631 54
a 1157 1116 80
a 1157 3305 74
a 1157 197 62
a 1158 1009 1
a 1159 1119 29
a 1159 3625 5
a 1159 861 81
a 1159 2097 2
a 1161 12 94
a 1161 1243 84
a 1161 1005 76
a 1161 420 83
a 1161 170 78
a 1161 674 34
a 1161 170 77
a 1162 2099 90
a 1162 1231 2
a 1162 4046 0
a 1162 3661 24
a 1162 4604 61
a 1163 609 34
a 1163 20 81
a 1164 1311 34
a 1164 1133 17
a 1164 1025 81
a 1164 208 68
a 1164 1163 73
a 1164 2689 96
a 1165 1686 31
a 1165 2064 56
a 1165 1110 80
a 1165 538 7
a 1165 55 97
a 1165 2678 49
a 1166 679 57
a 1166 650 32
a 1166 1475 78
a 1166 528 54
a 1166 2177 53
a 1166 536 90
a 1166 3610 14
a 1166 3653 45
a 1167 1083 5
a 1167 1000 77
a 1167 4426 29
a 1167 3331 2
a 1167 3511 33
a 1167 677 53
a 1167 1897 49
a 1167 2555 3
a 1167 3568 97
a 1168 1826 33
a 1172 2272 85
a 1172 2113 67
a 1172 575 3
a 1172 1021 17
a 1172 1099 15
a 1172 1135 59
a 1172 548 26
a 1172 2129 13
a 1172 823 95
a 1172 815 33
a 1172 3599 72
a 1172 1152 61
a 1172 472 0
a 1172 1025 83
a 1172 332 78
a 1172 245 9
a 1172 1100 57
a 1172 3619 3
a 1172 238 48
a 1172 313 31
a 1172 1173 3
a 1172 1068 0
a 1173 4457 24
a 1173 2277 87
a 1173 3205 35
a 1173 2113 49
a 1173 1955 5
a 1173 353 69
a 1173 1 9
a 1173 2739 20
a 1173 1105 47
a 1173 476 79
a 1173 2266 26
a 1173 548 40
a 1173 1114 71
a 1173 3520 19
a 1173 4357 72
a 1173 1029 51
a 1173 420 30
a 1174 717 61
a 1174 1192 75
a 1174 2463 60
a 1174 862 34
a 1174 4859 57
a 1174 4644 95
a 1174 549 56
a 1174 1800 48
a 1174 3654 54
a 1175 2345 26
a 1175 3555 93
a 1175 1227 94
a 1175 160 10
a 1175 1193 50
a 1175 1487 6
a 1175 1897 15
a 1175 1701 67
a 1175 2039 47
a 1176 3633 95
a 1176 1172 90
a 1176 2735 88
a 1176 708 72
a 1176 1095 53
a 1176 1567 45
a 1176 1211 65
a 1176 618 93
a 1176 1020 69
a 1176 365 46
a 1176 2298 40
a 1176 3052 99
a 1176 521 32
a 1176 863 7
a 1176 1194 96
a 1176 1021 94
a 1176 1026 10
a 1176 1021 20
a 1176 79 92
a 1176 556 80
a 1177 1245 25
a 1177 3364 69
a 1177 181 93
a 1177 1192 42
a 1177 3364 1
a 1178 4621 54
a 1178 2936 1
a 1178 437 14
a 1178 1110 24
a 1178 2839 52
a 1178 2291 54
a 1178 413 34
a 1178 3053 94
a 1178 64 67
a 1179 1432 8
a 1179 1490 71
a 1179 943 48
a 1179 549 90
a 1179 2424 61
a 1179 4850 78
a 1179 962 76
a 1181 1025 3
a 1181 1044 41
a 1181 561 30
a 1181 480 74
a 1181 1812 61
a 1181 1172 49
a 1181 952 75
a 1181 3595 96
a 1181 646 42
a 1181 478 91
a 1181 2119 9
a 1181 2431 15
a 1181 4345 37
a 1181 579 20
a 1182 40 96
a 1182 580 79
a 1182 160 8
a 1182 401 98
a 1182 4932 16
a 1182 4425 81
a 1182 3565 91
a 1182 1134 67
a 1182 382 22
a 1183 849 81
a 1183 1201 51
a 1183 1094 22
a 1183 794 48
a 1183 2504 64
a 1183 3663 0
a 1183 3369 29
a 1183 81 41
a 1183 3415 79
a 1183 472 66
a 1183 1012 59
a 1184 1182 92
a 1184 3405 15
a 1184 1221 37
a 1184 3294 10
a 1184 1202 94
a 1184 2422 44
a 1185 1485 42
a 1185 1017 2
a 1185 1226 73
a 1185 405 89
a 1185 2435 5
a 1185 795 11
a 1185 287 66
a 1185 912 67
a 1185 3916 47
a 1185 3615 61
a 1185 3526 68
a 1185 1810 2
a 1185 318 74
a 1186 816 40
a 1186 792 61
a 1186 1182 81
a 1186 1104 7
a 1186 719 47
a 1186 1069 8
a 1186 1216 90
a 1186 3048 4
a 1186 1432 48
a 1186 1097 79
a 1187 308 90
a 1187 1016 41
a 1187 481 27
a 1187 563 8
a 1187 1183 75
a 1188 251 70
a 1188 3410 31
a 1188 813 0
a 1191 746 33
a 1191 1274 42
a 1191 1094 54
a 1191 242 2
a 1191 4785 87
a 1191 1193 21
a 1191 1899 22
a 1191 4955 54
a 1191 1383 52
a 1191 1198 52
a 1191 870 11
a 1191 3655 37
a 1191 225 71
a 1192 3623 8
a 1192 2892 85
a 1192 3095 28
a 1192 2755 3
a 1192 704 73
a 1192 80 10
a 1192 4267 41
a 1193 595 55
a 1193 1048 61
a 1193 3722 77
a 1193 941 28
a 1193 801 35
a 1193 1097 80
a 1194 3544 92
a 1194 879 27
a 1194 3230 85
a 1194 236 47
a 1194 2423 90
a 1194 1485 53
a 1194 90 58
a 1194 5 90
a 1194 1246 25
a 1195 453 11
a 1195 730 71
a 1195 879 47
a 1195 24 72
a 1195 3672 75
a 1195 547 64
a 1195 3289 10
a 1196 3615 32
a 1196 570 4
a 1196 3073 13
a 1196 1587 10
a 1196 2442 6
a 1197 1113 14
a 1197 133 62
a 1197 113 44
a 1197 4908 3
a 1197 3732 20
a 1197 945 29
a 1197 1178 81
a 1198 3071 87
a 1198 2586 25
a 1198 2916 79
a 1200 1195 70
a 1200 108 10
a 1200 341 1
a 1200 1107 15
a 1200 2368 20
a 1200 3205 78
a 1200 4785 49
a 1200 2607 62
a 1200 3165 82
a 1200 1243 19
a 1200 1749 68
a 1200 2372 18
a 1200 791 62
a 1200 928 47
a 1200 263 3
a 1200 566 83
a 1200 3349 92
a 1200 2209 74
a 1201 3272 14
a 1201 3601 45
a 1201 550 78
a 1201 2051 11
a 1201 1826 85
a 1202 401 91
a 1202 577 55
a 1202 259 42
a 1202 2913 62
a 1202 3683 81
a 1202 2218 11
a 1202 1507 35
a 1202 4709 59
a 1202 191 72
a 1202 3468 40
a 1203 4795 22
a 1203 1227 55
a 1203 125 95
a 1203 2296 81
a 1204 540 28
a 1204 570 89
a 1204 4359 71
a 1204 405 32
a 1204 1185 4
a 1204 488 69
a 1204 1487 98
a 1204 2835 27
a 1205 3470 41
a 1206 2687 50
a 1206 2471 38
a 1206 2491 42
a 1206 417 3
a 1206 1107 67
a 1207 470 90
a 1207 3297 79
a 1207 3081 51
a 1211 982 23
a 1211 491 95
a 1211 1389 57
a 1211 2464 73
a 1211 669 38
a 1211 3477 73
a 1211 3 79
a 1211 905 15
a 1211 1181 35
a 1211 645 41
a 1211 1135 64
a 1211 704 24
a 1211 3343 16
a 1212 2113 31
a 1212 4610 43
a 1212 442 68
a 1212 3263 55
a 1212 1028 64
a 1212 911 59
a 1213 1446 16
a 1213 3054 68
a 1213 1139 16
a 1213 573 20
a 1213 363 60
a 1213 614 88
a 1213 1448 78
a 1213 1526 0
a 1213 1530 94
a 1213 4972 71
a 1213 2306 59
a 1213 1760 29
a 1213 1163 38
a 1213 2424 51
a 1213 489 1
a 1214 1179 40
a 1214 4670 96
a 1214 1996 25
a 1214 784 28
a 1215 4890 94
a 1215 1856 2
a 1215 1216 57
a 1215 1245 94
a 1215 183 84
a 1215 3091 95
a 1215 371 2
a 1215 2778 82
a 1215 248 44
a 1215 4973 83
a 1215 2110 58
a 1215 1010 32
a 1216 4587 79
a 1216 689 21
a 1216 640 86
a 1216 470 5
a 1216 1684 73
a 1217 1148 94
a 1217 3550 54
a 1217 1059 59
a 1217 2426 52
a 1217 1213 5
a 1217 377 29
a 1217 3617 35
a 1217 456 31
a 1217 456 75
a 1217 833 55
a 1218 2320 19
a 1218 446 72
a 1218 999 7
a 1218 1765 56
a 1218 3211 69
a 1218 3224 81
a 1220 667 5
a 1220 1134 10
a 1220 1065 1
a 1220 3716 71
a 1220 2279 68
a 1220 1239 82
a 1220 3739 87
a 1220 3618 32
a 1220 2295 40
a 1221 1216 68
a 1221 2803 9
a 1221 362 66
a 1221 715 4
a 1222 1553 80
a 1222 2746 57
a 1222 143 58
a 1222 3583 13
a 1222 3532 90
a 1222 94 33
a 1222 2432 40
a 1223 960 20
a 1223 440 81
a 1223 616 39
a 1223 1078 9
a 1223 3556 65
a 1223 461 91
a 1223 2308 47
a 1223 2837 12
a 1224 4974 76
a 1224 3589 19
a 1224 2025 57
a 1224 453 26
a 1224 3114 60
a 1225 1133 94
a 1225 1400 50
a 1225 2935 43
a 1225 1186 15
a 1225 3236 2
a 1226 570 58
a 1226 912 49
a 1226 1227 24
a 1226 1306 79
a 1227 2273 63
a 1227 2132 60
a 1227 2414 99
a 1227 2317 55
a 1230 503 73
a 1230 371 50
a 1230 899 56
a 1230 2844 48
a 1230 694 42
a 1230 1213 53
a 1230 927 89
a 1230 635 58
a 1230 439 17
a 1230 1048 84
a 1230 996 85
a 1230 1069 84
a 1230 1059 38
a 1230 920 64
a 1231 451 24
a 1231 1153 60
a 1231 1230 18
a 1231 2416 21
a 1231 1192 92
a 1231 1120 35
a 1231 1240 24
a 1231 2483 6
a 1232 3691 50
a 1232 1076 55
a 1232 4290 97
a 1232 3722 74
a 1232 224 85
a 1232 138 82
a 1232 453 15
a 1232 1089 30
a 1233 1214 42
a 1233 1114 29
a 1234 4166 89
a 1234 469 91
a 1234 512 59
a 1234 2405 99
a 1234 1002 35
a 1234 2367 33
a 1235 1156 60
a 1235 372 36
a 1235 3659 14
a 1235 216 33
a 1235 845 74
a 1236 1861 89
a 1236 2417 0
a 1237 620 46
a 1237 834 73
a 1237 4026 10
a 1237 1149 79
a 1239 1230 19
a 1239 1241 67
a 1239 1104 17
a 1240 1142 86
a 1240 2926 21
a 1240 148 65
a 1240 2802 78
a 1241 1064 54
a 1241 1828 40
a 1241 617 91
a 1242 1211 18
a 1243 1480 35
a 1243 2648 48
a 1243 1129 25
a 1244 3599 17
a 1245 1241 88
a 1245 2428 71
a 1245 2489 94
a 1246 3737 70
a 1251 4532 58
a 1251 1252 35
a 1251 3770 96
a 1251 1331 78
a 1251 2051 65
a 1251 2824 48
a 1251 3761 92
a 1251 4093 67
a 1251 940 60
a 1251 1499 17
a 1251 2075 68
a 1251 3126 90
a 1251 2138 10
a 1251 235 72
a 1251 3764 94
a 1251 1409 11
a 1251 1041 42
a 1251 1644 12
a 1251 1747 28
a 1251 159 78
a 1251 2579 17
a 1251 3776 27
a 1251 313 99
a 1251 762 62
a 1251 1906 28
a 1251 668 71
a 1251 1270 18
a 1251 3791 45
a 1251 2269 1
a 1251 2814 78
a 1251 1977 88
a 1251 1728 66
a 1251 2534 86
a 1251 642 76
a 1251 455 2
a 1251 3921 37
a 1251 4737 49
a 1251 2969 37
a 1251 15 15
a 1251 1 6
a 1251 1290 79
a 1251 248 74
a 1251 3 58
a 1251 1876 35
a 1251 1877 19
a 1251 665 31
a 1251 1283 77
a 1251 4493 64
a 1251 3360 86
a 1251 3751 29
a 1251 1916 27
a 1251 1339 15
a 1251 2004 88
a 1251 1830 95
a 1251 5 67
a 1251 2573 98
a 1251 1301 51
a 1251 2584 84
a 1251 4378 72
a 1251 26 89
a 1251 1904 84
a 1251 317 23
a 1251 2562 72
a 1251 1920 1
a 1251 1290 32
a 1251 1889 76
a 1251 628 98
a 1251 3790 50
a 1251 1738 43
a 1251 3091 71
a 1251 1276 95
a 1251 2032 79
a 1251 3777 21
a 1251 475 64
a 1251 1876 80
a 1251 1407 89
a 1251 24 93
a 1251 645 86
a 1251 159 78
a 1251 3770 44
a 1251 3935 13
a 1251 1607 8
a 1251 1332 10
a 1251 860 4
a 1251 3800 93
a 1251 2 23
a 1251 1955 3
a 1251 2580 9
a 1251 59 3
a 1251 1900 9
a 1251 2204 12
a 1251 1270 12
a 1251 1291 90
a 1251 2969 86
a 1251 1254 61
a 1251 1896 27
a 1251 706 12
a 1251 1381 94
a 1251 123 2
a 1251 2191 7
a 1252 1447 89
a 1252 318 29
a 1252 744 7
a 1252 205 58
a 1252 4455 99
a 1252 314 56
a 1252 2442 27
a 1252 1412 87
a 1252 1271 2
a 1252 3130 72
a 1252 1408 98
a 1252 2794 23
a 1252 1254 27
a 1252 1724 83
a 1252 45 31
a 1252 4111 42
a 1252 1282 11
a 1252 979 99
a 1252 1642 45
a 1252 1891 14
a 1252 1729 67
a 1252 3166 15
a 1252 2896 94
a 1252 4064 18
a 1252 2814 32
a 1252 3848 93
a 1252 3800 86
a 1252 1282 12
a 1252 53 75
a 1252 627 59
a 1252 940 83
a 1252 2197 10
a 1252 1310 70
a 1252 1334 79
a 1252 1260 69
a 1252 2189 17
a 1252 2566 39
a 1252 2353 52
a 1252 1643 3
a 1252 236 11
a 1252 1407 18
a 1252 1418 47
a 1252 7 19
a 1252 1886 72
a 1252 1447 94
a 1252 1357 23
a 1252 1309 76
a 1252 2540 25
a 1252 509 35
a 1252 2119 1
a 1252 650 36
a 1252 64 34
a 1252 1916 22
a 1252 81 29
a 1252 25 31
a 1252 2829 40
a 1252 1605 82
a 1252 444 25
a 1252 1410 17
a 1252 1431 62
a 1252 346 35
a 1252 4396 19
a 1252 1260 13
a 1252 166 47
a 1252 1319 41
a 1252 4 25
a 1252 15 12
a 1253 1255 56
a 1253 4388 71
a 1253 1584 86
a 1253 320 85
a 1253 1457 83
a 1253 3758 78
a 1253 1 23
a 1253 1804 56
a 1253 1251 64
a 1253 945 4
a 1253 2822 75
a 1253 159 17
a 1253 1252 20
a 1253 734 2
a 1253 1588 42
a 1253 4317 71
a 1253 84 94
a 1253 1721 49
a 1253 1426 76
a 1253 65 18
a 1253 2064 25
a 1253 1721 37
a 1253 1389 67
a 1253 1740 68
a 1253 940 49
a 1253 15 76
a 1253 1318 78
a 1253 1254 86
a 1253 2209 27
a 1253 1417 0
a 1253 1882 96
a 1253 3757 77
a 1253 286 4
a 1253 22 35
a 1253 1390 70
a 1253 1275 77
a 1253 599 76
a 1253 2799 3
a 1253 26 1
a 1253 1374 16
a 1253 1738 43
a 1253 3072 83
a 1253 2151 22
a 1254 2581 45
a 1254 1959 24
a 1254 192 5
a 1254 51 50
a 1254 169 82
a 1254 1605 46
a 1254 4027 21
a 1254 1349 34
a 1254 687 24
a 1254 1897 46
a 1254 314 52
a 1254 81 54
a 1254 2193 81
a 1254 4379 76
a 1254 1920 73
a 1254 3929 87
a 1254 696 33
a 1254 861 0
a 1254 3796 43
a 1254 1488 87
a 1254 1338 19
a 1254 3990 83
a 1254 8 63
a 1254 2039 31
a 1254 630 62
a 1254 41 89
a 1254 2580 20
a 1254 1262 96
a 1254 1487 54
a 1254 1646 10
a 1254 633 42
a 1254 1252 93
a 1254 4461 41
a 1254 2541 42
a 1255 3364 64
a 1255 41 28
a 1255 1368 51
a 1255 1291 0
a 1255 3800 11
a 1255 1251 41
a 1255 6 95
a 1255 4125 46
a 1255 3870 71
a 1255 1257 53
a 1255 3835 68
a 1255 1184 24
a 1255 2554 92
a 1255 2117 6
a 1255 1411 93
a 1255 676 65
a 1255 788 52
a 1255 1329 70
a 1255 29 72
a 1255 3136 1
a 1255 1271 81
a 1255 26 35
a 1255 4810 94
a 1255 1842 40
a 1255 2817 22
a 1255 3907 26
a 1255 3764 13
a 1255 1528 15
a 1255 2501 42
a 1255 1309 70
a 1255 1920 83
a 1255 5 92
a 1255 1648 8
a 1255 1412 42
a 1255 2140 51
a 1255 2813 47
a 1255 163 47
a 1255 31 96
a 1255 3911 1
a 1255 34 76
a 1255 3751 58
a 1255 327 49
a 1255 23 1
a 1256 2111 51
a 1256 200 87
a 1256 334 16
a 1256 1280 56
a 1256 1286 82
a 1256 1283 54
a 1256 1 77
a 1256 1900 2
a 1256 1673 48
a 1256 3834 88
a 1256 1295 78
a 1256 1334 65
a 1256 1336 17
a 1256 1798 84
a 1256 2388 71
a 1256 55 38
a 1256 1726 30
a 1256 1362 51
a 1256 82 94
a 1256 260 69
a 1256 2586 24
a 1256 4390 6
a 1256 125 97
a 1256 1254 50
a 1256 73 72
a 1256 1625 72
a 1256 2501 0
a 1256 2194 74
a 1256 75 14
